Image,Name,Brand,Price
https://example.com/images/I/61Ohj-RxPwL._AC_UY218_.jpg,Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),PlayStation,"₹2,799₹2,799"
https://example.com/images/I/81qBiCSoegL._AC_UY218_.jpg,PS5 Spiderman 2 Standard Edn.,"₹4,499₹4,499M.R.P:₹4,999₹4,999","₹4,499₹4,499"
https://example.com/images/I/81kAitW5qAL._AC_UY218_.jpg,Rockstar Games PS5 Grand Theft Auto V,PlayStation 5,"₹1,799₹1,799"
https://example.com/images/I/81PX1wwqq9L._AC_UY218_.jpg,EA Sports FC 24 | Standard Edition | PlayStation 5,PlayStation 5,"₹2,499₹2,499"
https://example.com/images/I/815pn9-S+uL._AC_UY218_.jpg,"Big Ant Studios Cricket 24, Standard Edition, Playstation 5","₹3,485₹3,485M.R.P:₹4,299₹4,299","₹3,485₹3,485"
https://example.com/images/I/81calZhnlHL._AC_UY218_.jpg,Tekken 8 | Standard Edition | PlayStation 5,"₹4,739₹4,739M.R.P:₹4,799₹4,799","₹4,739₹4,739"
https://example.com/images/I/6168UK7hfEL._AC_UY218_.jpg,Sony Marvel's Spider-Man: Miles Morales (PS5),PlayStation 5,"₹1,999₹1,999"
https://example.com/images/I/51YInfPusJL._AC_UY218_.jpg,Take 2 WWE 2K23 | Standard Edition | PlayStation 5,PlayStation 5,"₹2,299₹2,299"
https://example.com/images/I/71p2hmwQmfL._AC_UY218_.jpg,PS5 The Last Of Us 2 Remastered,"₹2,999₹2,999","₹2,999₹2,999"
https://example.com/images/I/81ptKW1gJBL._AC_UY218_.jpg,UBI Soft Far Cry 6 | Standard Edition | Playstation 5 (PS5),PlayStation 5,"₹1,499₹1,499"
https://example.com/images/I/71IQsz84aBL._AC_UY218_.jpg,Namco Bandai Games PS5 Elden Ring,PlayStation 5,"₹2,999₹2,999"
https://example.com/images/I/81paEK4OI4L._AC_UY218_.jpg,Sony The Last Of Us : Part 1 | PS5 Game,PlayStation 5,"₹3,174₹3,174"
https://example.com/images/I/71IBLpK-DtL._AC_UY218_.jpg,WB Games PS5 Mortal Kombat 11: Ultimate,PlayStation 5,"₹1,749₹1,749"
https://example.com/images/I/81z5odDv12L._AC_UY218_.jpg,PS5 Horizon Forbidden West Complete Edn.,"₹3,795₹3,795M.R.P:₹3,999₹3,999","₹3,795₹3,795"
https://example.com/images/I/81etAae966L._AC_UY218_.jpg,Hogwarts Legacy | Standard Edition| PlayStation 5 (PS5),PlayStation 5,"₹3,640₹3,640"
https://example.com/images/I/71pPrnnMn-L._AC_UY218_.jpg,"Capcom Street Fighter 6, Standard Edition, Playstation 5","₹2,999₹2,999M.R.P:₹4,399₹4,399","₹2,999₹2,999"
